customer_id,days_since_last_transaction,days_since_first_transaction,customer_lifetime_days,total_transactions,unique_merchants,unique_categories,unique_locations,avg_transactions_per_day,avg_transactions_per_week,avg_transactions_per_month,total_amount,avg_transaction_amount,median_transaction_amount,std_transaction_amount,min_transaction_amount,max_transaction_amount,total_expenses,avg_expense_amount,max_expense_amount,expense_transaction_count,total_income,avg_income_amount,max_income_amount,income_transaction_count,net_cash_flow,income_expense_ratio,savings_rate,grocery_total_spend,grocery_transaction_count,grocery_avg_amount,restaurant_total_spend,restaurant_transaction_count,restaurant_avg_amount,gas_total_spend,gas_transaction_count,gas_avg_amount,retail_total_spend,retail_transaction_count,retail_avg_amount,entertainment_total_spend,entertainment_transaction_count,entertainment_avg_amount,grocery_spend_percentage,restaurant_spend_percentage,gas_spend_percentage,retail_spend_percentage,entertainment_spend_percentage,most_frequent_category,avg_transaction_hour,most_common_hour,weekend_transaction_ratio,most_common_day,weekend_weekday_spending_ratio,monthly_spending_trend,monthly_frequency_trend,spending_volatility,frequency_volatility,most_used_payment_mode,payment_mode_diversity,location_diversity,most_common_location,merchant_loyalty_score,top_merchant,small_transaction_ratio,medium_transaction_ratio,large_transaction_ratio
CUST_000492,0,180,180,84,30,10,12,0.4666666666666667,3.2666666666666666,14.0,-5882.290000000002,-70.02726190476193,-65.05499999999999,264.2618254519704,-552.75,1414.71,-9246.86,-114.15876543209878,-552.75,81,3364.57,1121.5233333333333,1414.71,3.0,-5882.290000000001,0.36386081329229597,-1.7483036465283828,-469.78999999999996,5,-93.958,-1621.44,25,-64.8576,-204.13,3,-68.04333333333334,-5677.99,23,-246.8691304347826,-543.56,18,-30.197777777777773,0.05080535446627287,0.17535033514079373,0.02207560187998953,0.6140452002085032,0.058783197755778706,restaurant,8.630952380952381,6,0.25,2,0.0671808185428493,-205.95892857142863,1.035714285714286,592.2440322249963,4.174754056057845,Check,6,12,Los Angeles,0.10714285714285714,Pizza Hut,0.3333333333333333,0.47619047619047616,0.19047619047619047
CUST_000555,0,180,180,118,37,10,12,0.6555555555555556,4.588888888888889,19.666666666666668,-14386.726372282623,-121.9214099345985,-44.84,476.5996509201644,-4831.156372282623,625.83,-17196.966372282623,-153.54434260966627,-4831.156372282623,112,2810.24,468.3733333333333,625.83,6.0,-14386.726372282623,0.1634148685973726,-5.119394205577682,-395.83,3,-131.94333333333333,-1433.4,26,-55.13076923076923,-234.43,4,-58.6075,-8143.55,28,-290.8410714285714,-1108.21,35,-31.66314285714286,0.023017431762731293,0.08335191038753768,0.013632055498918974,0.4735457303170311,0.06444217985947616,entertainment,9.576271186440678,6,0.3559322033898305,6,0.30478400470792416,-461.7450980201877,1.9285714285714297,2465.16087180849,8.166631958832259,Bank Transfer,6,12,San Jose,0.11016949152542373,AMC Theaters,0.5084745762711864,0.2711864406779661,0.22033898305084745
CUST_000525,1,180,179,92,33,10,12,0.5139664804469274,3.5977653631284916,15.418994413407821,-4278.4,-46.50434782608695,-50.74,132.2880138208632,-353.48,797.43,-5814.52,-64.60577777777779,-353.48,90,1536.12,768.06,797.43,2.0,-4278.400000000001,0.264186897628695,-2.78519907298909,-2126.68,21,-101.27047619047619,-823.54,22,-37.43363636363636,-1663.34,31,-53.656129032258065,-433.95000000000005,2,-216.97500000000002,-91.57,3,-30.52333333333333,0.36575332099640206,0.14163507907789463,0.28606660566994346,0.07463212784546273,0.01574850546562743,gas,10.51086956521739,23,0.33695652173913043,6,0.9611654045728746,37.51571428571427,0.7857142857142853,539.4236938490135,8.113983897807387,Bank Transfer,6,12,San Jose,0.07608695652173914,Mobil,0.4673913043478261,0.4891304347826087,0.043478260869565216
CUST_000155,1,180,179,98,29,9,12,0.547486033519553,3.8324022346368714,16.424581005586592,-6402.1543543676435,-65.32810565681268,-55.245,533.1414651561054,-4513.294354367643,1606.35,-11445.50435436764,-121.76068462093234,-4513.294354367643,94,5043.35,1260.8375,1606.35,4.0,-6402.15435436764,0.4406402587296594,-1.269424956500667,-2011.3100000000002,20,-100.56550000000001,-5609.524354367642,22,-254.97837974398374,-2140.9,39,-54.8948717948718,-883.23,2,-441.615,-89.82,3,-29.939999999999998,0.17572925908087902,0.4901072229488105,0.18705160853685107,0.07716829006866409,0.007847622718847196,gas,9.275510204081632,8,0.25510204081632654,3,0.40864136377293897,303.90178571428567,0.39285714285714274,2476.2272400615457,4.140393356054125,Cash,6,12,Phoenix,0.11224489795918367,Mobil,0.3877551020408163,0.5204081632653061,0.09183673469387756
CUST_000080,2,180,178,89,27,10,12,0.5,3.5,15.0,-10907.746073091537,-122.55894464147795,-80.05,273.66291768645385,-2276.6360730915367,1005.89,-11913.636073091537,-135.3822281033129,-2276.6360730915367,88,1005.89,1005.89,1005.89,1.0,-10907.746073091537,0.08443182197515085,-10.843875645539311,-2070.5,21,-98.5952380952381,-187.88,3,-62.626666666666665,-255.75,3,-85.25,-679.39,2,-339.695,-24.1,1,-24.1,0.17379244986981662,0.015770164444115504,0.021466997852791887,0.05702625091381537,0.00202289207527775,utilities,7.52808988764045,1,0.4606741573033708,6,0.7342825703611007,-301.58743640266476,0.28571428571428625,830.9158820231539,4.80221037542046,Debit Card,6,12,Houston,0.12359550561797752,Gas Company,0.29213483146067415,0.5056179775280899,0.20224719101123595
CUST_000895,5,180,175,98,34,9,12,0.56,3.92,16.8,-5077.63,-51.812551020408165,-53.485,125.7795839915815,-209.13,813.69,-6573.87,-68.4778125,-209.13,96,1496.24,748.12,813.69,2.0,-5077.63,0.22760413576782018,-3.3935932738063412,-2707.03,24,-112.79291666666667,-1259.6200000000001,26,-48.446923076923085,-1586.05,30,-52.86833333333333,0.0,0,0.0,-117.41999999999999,4,-29.354999999999997,0.41178636024137993,0.1916101170239144,0.24126579929326256,0.0,0.01786162488762327,gas,8.571428571428571,1,0.21428571428571427,0,0.32863123740743655,-5.757142857142895,-0.32142857142857045,203.4578776242074,2.878491668515698,Check,6,12,San Diego,0.08163265306122448,Domino's,0.42857142857142855,0.5306122448979592,0.04081632653061224
CUST_000957,2,180,178,92,30,10,12,0.5168539325842697,3.617977528089888,15.50561797752809,-7994.290000000001,-86.89445652173914,-51.72,240.57378481758903,-609.5,1396.44,-10429.07,-115.87855555555555,-609.5,90,2434.7799999999997,1217.3899999999999,1396.44,2.0,-7994.29,0.2334608934449572,-3.2833726250420985,-283.03,2,-141.515,-1462.94,28,-52.24785714285714,-58.41,1,-58.41,-7267.59,28,-259.5567857142857,-553.64,20,-27.682,0.027138565567207812,0.14027521150016253,0.0056006911450397785,0.6968588761989324,0.0530862291652084,restaurant,10.434782608695652,23,0.2608695652173913,0,0.7960902640790484,-44.85071428571437,0.6785714285714294,1031.7297262424133,3.757984696561687,UPI,6,12,San Antonio,0.08695652173913043,Nike,0.4673913043478261,0.32608695652173914,0.20652173913043478
CUST_000818,2,180,178,94,29,9,14,0.5280898876404494,3.6966292134831464,15.842696629213483,-20118.955225703943,-214.03143857131855,-64.61500000000001,625.9189866757422,-4581.514615609191,413.6,-20532.55522570394,-220.7801637172467,-4581.514615609191,93,413.6,413.6,413.6,1.0,-20118.955225703943,0.020143620482375696,-48.643508766208754,-212.34,4,-53.085,-1480.8,23,-64.38260869565217,-138.14999999999998,2,-69.07499999999999,-8371.07,31,-270.0345161290322,-9220.315225703942,24,-384.1798010709976,0.01034162566060845,0.07211961607906656,0.006728339385010159,0.40769743015328985,0.4490583429266209,retail,9.648936170212766,11,0.2765957446808511,3,0.24204075336095024,339.8770215921539,-0.6785714285714283,1976.7956894376443,5.802884574739972,Bank Transfer,6,14,Houston,0.0851063829787234,Best Buy,0.43617021276595747,0.2765957446808511,0.2872340425531915
CUST_000761,2,180,178,90,32,10,14,0.5056179775280899,3.5393258426966296,15.168539325842696,-5980.779999999999,-66.4531111111111,-47.185,165.0396775762783,-540.51,901.67,-7816.640000000001,-89.84643678160921,-540.51,87,1835.8600000000001,611.9533333333334,901.67,3.0,-5980.780000000001,0.23486562001064393,-3.2577538592267388,-354.79999999999995,4,-88.69999999999999,-1493.33,29,-51.49413793103448,-187.87,4,-46.9675,-4169.55,18,-231.64166666666668,-707.39,23,-30.756086956521738,0.04539034674745158,0.19104500143284067,0.024034623572276575,0.5334197302165635,0.09049796331927783,restaurant,8.8,6,0.3888888888888889,4,0.5105688141055593,-209.2146428571429,0.6071428571428574,727.379715372029,4.085814184592883,Debit Card,6,14,San Jose,0.1111111111111111,Domino's,0.5111111111111111,0.34444444444444444,0.14444444444444443
CUST_000342,9,180,171,69,25,9,13,0.40350877192982454,2.8245614035087723,12.105263157894736,-4760.79,-68.99695652173914,-51.18,170.27030781796498,-458.25,755.72,-6251.88,-93.31164179104478,-458.25,67,1491.0900000000001,745.5450000000001,755.72,2.0,-4760.79,0.2385026584003532,-3.1928253827736754,-1442.94,16,-90.18375,-158.36,2,-79.18,0.0,0,0.0,-816.1600000000001,2,-408.08000000000004,-35.0,2,-17.5,0.23080097506669994,0.025329980741792872,0.0,0.13054633166343566,0.005598316026539217,transport,9.130434782608695,7,0.2608695652173913,4,0.14078988986974147,-85.29821428571438,-0.46428571428571347,764.6498598651783,4.580348440537542,Cash,6,13,Philadelphia,0.11594202898550725,Water Authority,0.463768115942029,0.391304347826087,0.14492753623188406
