avg_monthly_spend,transaction_frequency,preferred_categories,churn_probability,customer_id,segment,signup_date
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000001,high_spender,2025-04-26 16:42:35.544051
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000002,low_spender,2024-09-13 16:42:35.544074
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000003,moderate_spender,2024-12-30 16:42:35.544084
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000004,high_spender,2023-06-29 16:42:35.544090
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000005,high_spender,2023-09-25 16:42:35.544096
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000006,risky,2025-04-19 16:42:35.544102
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000007,high_spender,2025-02-15 16:42:35.544106
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000008,moderate_spender,2024-09-25 16:42:35.544111
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000009,high_spender,2023-10-25 16:42:35.544115
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000010,moderate_spender,2023-07-26 16:42:35.544120
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000011,risky,2024-10-08 16:42:35.544125
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000012,risky,2023-09-26 16:42:35.544130
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000013,low_spender,2025-05-15 16:42:35.544134
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000014,moderate_spender,2024-03-15 16:42:35.544139
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000015,low_spender,2024-08-10 16:42:35.544144
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000016,moderate_spender,2024-10-13 16:42:35.544148
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000017,low_spender,2025-02-06 16:42:35.544153
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000018,high_spender,2024-04-27 16:42:35.544157
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000019,high_spender,2024-05-19 16:42:35.544164
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000020,low_spender,2023-09-11 16:42:35.544169
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000021,low_spender,2025-04-07 16:42:35.544178
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000022,risky,2023-11-19 16:42:35.544183
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000023,high_spender,2024-04-29 16:42:35.544187
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000024,high_spender,2023-11-03 16:42:35.544192
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000025,low_spender,2023-08-17 16:42:35.544196
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000026,low_spender,2023-10-08 16:42:35.544201
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000027,moderate_spender,2025-03-11 16:42:35.544205
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000028,high_spender,2023-07-14 16:42:35.544210
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000029,moderate_spender,2024-07-29 16:42:35.544214
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000030,high_spender,2024-09-25 16:42:35.544219
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000031,high_spender,2024-04-27 16:42:35.544223
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000032,low_spender,2024-02-12 16:42:35.544227
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000033,low_spender,2024-12-06 16:42:35.544232
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000034,low_spender,2024-05-23 16:42:35.544236
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000035,moderate_spender,2023-07-05 16:42:35.544241
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000036,low_spender,2023-06-22 16:42:35.544245
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000037,high_spender,2023-09-06 16:42:35.544249
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000038,moderate_spender,2023-11-22 16:42:35.544256
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000039,moderate_spender,2024-12-05 16:42:35.544260
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000040,risky,2024-04-28 16:42:35.544265
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000041,low_spender,2023-08-05 16:42:35.544269
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000042,moderate_spender,2024-06-23 16:42:35.544274
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000043,high_spender,2024-09-29 16:42:35.544281
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000044,high_spender,2024-07-02 16:42:35.544286
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000045,risky,2024-08-20 16:42:35.544290
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000046,high_spender,2024-10-17 16:42:35.544294
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000047,low_spender,2024-10-16 16:42:35.544299
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000048,risky,2024-04-11 16:42:35.544303
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000049,risky,2024-12-26 16:42:35.544308
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000050,low_spender,2024-12-30 16:42:35.544312
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000051,moderate_spender,2023-10-25 16:42:35.544316
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000052,low_spender,2023-10-01 16:42:35.544321
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000053,risky,2023-10-02 16:42:35.544327
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000054,risky,2024-05-16 16:42:35.544332
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000055,moderate_spender,2024-12-31 16:42:35.544336
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000056,risky,2025-02-17 16:42:35.544341
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000057,high_spender,2025-01-29 16:42:35.544345
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000058,moderate_spender,2023-08-18 16:42:35.544352
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000059,moderate_spender,2023-06-25 16:42:35.544357
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000060,risky,2023-09-19 16:42:35.544361
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000061,high_spender,2024-04-22 16:42:35.544365
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000062,risky,2023-09-19 16:42:35.544370
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000063,risky,2023-11-27 16:42:35.544374
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000064,low_spender,2023-11-02 16:42:35.544380
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000065,high_spender,2023-06-25 16:42:35.544385
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000066,high_spender,2023-06-23 16:42:35.544390
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000067,low_spender,2023-08-04 16:42:35.544395
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000068,low_spender,2025-01-27 16:42:35.544399
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000069,low_spender,2024-03-02 16:42:35.544404
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000070,moderate_spender,2024-02-12 16:42:35.544408
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000071,high_spender,2024-08-25 16:42:35.544412
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000072,moderate_spender,2023-12-19 16:42:35.544417
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000073,high_spender,2023-08-20 16:42:35.544421
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000074,low_spender,2023-08-06 16:42:35.544426
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000075,moderate_spender,2024-12-16 16:42:35.544430
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000076,low_spender,2024-12-07 16:42:35.544435
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000077,high_spender,2023-09-16 16:42:35.544441
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000078,low_spender,2024-01-07 16:42:35.544448
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000079,high_spender,2025-01-27 16:42:35.544452
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000080,low_spender,2024-07-11 16:42:35.544457
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000081,moderate_spender,2025-03-23 16:42:35.544461
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000082,moderate_spender,2023-10-19 16:42:35.544466
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000083,high_spender,2025-02-23 16:42:35.544470
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000084,risky,2025-03-12 16:42:35.544474
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000085,moderate_spender,2025-01-10 16:42:35.544481
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000086,risky,2023-11-06 16:42:35.544486
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000087,moderate_spender,2024-08-23 16:42:35.544493
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000088,risky,2024-10-17 16:42:35.544498
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000089,moderate_spender,2024-07-06 16:42:35.544503
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000090,risky,2023-07-04 16:42:35.544508
1000,8,"['grocery', 'utilities', 'transport']",0.3,CUST_000091,low_spender,2024-02-28 16:42:35.544513
3000,30,"['entertainment', 'retail', 'restaurant']",0.5,CUST_000092,risky,2025-01-18 16:42:35.544518
2500,15,"['grocery', 'gas', 'restaurant']",0.2,CUST_000093,moderate_spender,2024-10-03 16:42:35.544522
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000094,high_spender,2024-06-09 16:42:35.544527
5000,25,"['retail', 'restaurant', 'entertainment']",0.1,CUST_000095,high_spender,2023-09-27 16:42:35.544532
